name,url,description
Infuse,https://firecore.com/infuse,השם השני של נגן מדיה.
IINA,https://iina.io/,נגן מדיה פתוח מבוסס MPV העז.
Macs Fan Control,https://crystalidea.com/macs-fan-control,שליטה על הקירור פלוס טמפ.
Trasmission,https://transmissionbt.com/, קליינט טורנט נהדר.
LocalSend,https://localsend.org/,כמו AIRDROP אבל גם לאנשי האגס.
LinerMouse,https://linearmouse.app/en/, כי אימא של אפל זונה והם לא יודעים מה זה עכבר.
MiddleClick,https://github.com/artginzburg/MiddleClick, כי אימא של אפל זונה והם לא יודעים מה זה משטח מעקב.
TigerVNC,https://github.com/TigerVNC/tigervnc, קליינט VNC העז.
VSCodium, https://vscodium.com/, כי אימא של מיקרוסופט וכו וכו הבנתם כבר.
powerflow,https://powerflowstudio.app/, פשוט למדוד כמה חשמל הבחורציק שותה לך.
Findle,https://github.com/alexmodrono/Findle, כמו מודל רק שהוא פשוט שרת בFINDER זין ענק על MOODLE אימא שלהם שבורה או משהו באמת.
AlDente,https://apphousekitchen.com/, ליטיום אוהב 80% בערך.
FreeTube,https://freetubeapp.io/, קליינט יוטיוב טוב.
Latest,https://github.com/mangerlahn/Latest, כי HOMEBREW נכה ולא יודע לעשות עדכונים בלי לקבל שבץ.
BetterDisplay,https://github.com/waydabber/BetterDisplay, כי אפל לא יודעים מה זה מסך.
Keka,https://www.keka.io/en/, חילוץ וכיווץ פשוט טוב מידי.
FreeCAD, https://www.freecad.org/, כי סוליד לא אוהבים תפוחים וFUSION360 זה זבל.
CyberDuck,https://cyberduck.io/,אפל לא יודעים מה זה SFTP משום מה.
Cemu,https://github.com/SamoZ256/Cemu, אמולטור של WIIU אבל עם METAL
RadioSilence,https://radiosilenceapp.com/, חוסם גישה לאינטרנט מאפליקציות נהדר.
Bartender,https://www.macbartender.com/, פשוט נהדר ל MENUBAR.
SquirrelDisk,https://github.com/adileo/squirreldisk, לנקות את הדיסק בקלת.
CloudMounter,https://cloudmounter.net/, פשוט SFTP בFINDER וכו.
UnitePro,https://www.bzgapps.com/unite, מאתר לאפליקציה נחמד ושימושי.
